,count
KronikHastalik__Aritmi,395.0
KronikHastalik__Hiportiroidizm,383.0
KronikHastalik__Limb-Girdle Musküler Distrofi,379.0
KronikHastalik__Astım,351.0
KronikHastalik__Hipertiroidizm,327.0
KronikHastalik__Myastenia gravis,316.0
KronikHastalik__Diyabet,308.0
KronikHastalik__Duchenne Musküler Distrofisi,307.0
KronikHastalik__Fascioscapulohumeral Distrofi,304.0
KronikHastalik__Kalp yetmezliği,301.0
KronikHastalik__Hipertansiyon,285.0
KronikHastalik__Polimiyozit,275.0
KronikHastalik__Becker Musküler Distrofisi,243.0
KronikHastalik__Guatr,3.0
KronikHastalik__Hipotirodizm,3.0
