,count
Tanilar__DORSALJİ,609.0
Tanilar__DİĞER,596.0
Tanilar__tanımlanmamış,394.0
Tanilar__Omuzun darbe sendromu,272.0
Tanilar__İntervertebral disk bozuklukları,269.0
Tanilar__LUMBOSAKRAL BÖLGE,265.0
Tanilar__SERVİKOTORASİK BÖLGE,211.0
Tanilar__SERVİKAL BÖLGE,140.0
Tanilar__Eklem ağrısı,113.0
Tanilar__Dorsalji,105.0
Tanilar__diğer,92.0
Tanilar__Fibromiyalji,70.0
Tanilar__şimdiki,62.0
Tanilar__Menisküs yırtığı,62.0
Tanilar__Ekstremite ağrısı,61.0
Tanilar__Gonartroz [diz ekleminin artrozu],54.0
Tanilar__Lateral epikondilit,53.0
Tanilar__Radikülopati,51.0
Tanilar__Boyun ağrısı,50.0
Tanilar__birden fazla yer,50.0
